job,9:30~10:00,10:00~10:30,10:30~11:00,11:00~11:30,11:30~12:00,12:00~12:30,12:30~13:00,13:00~13:30,13:30~14:00,14:00~14:30,14:30~15:00,15:00~15:30,15:30~16:00,
食品-塩焼きそば-鉄板,4,4,4,4,4,4,4,4,4,4,4,2,2,48
食品-塩焼きそば-具材投入,2,2,2,2,2,2,2,2,2,2,2,1,1,24
食品-塩焼きそば-キャベツ,2,2,2,2,3,3,3,3,3,3,3,1,1,31
食品-塩焼きそば-パッキング,2,2,2,2,2,2,2,2,2,2,2,2,2,26
食品-塩焼きそば-トッピング,2,2,2,2,2,2,2,2,2,2,2,1,1,24
食品-塩焼きそば-箸、輪ゴム,1,1,1,2,2,2,2,2,1,1,1,1,1,18
食品-塩焼きそば-デリバリー,1,1,1,1,1,1,1,1,1,1,1,1,1,13
食品-塩焼きそば-書き込み係,1,1,1,1,1,1,1,1,1,1,1,1,1,13
食品-塩焼きそば-受け渡し係,2,2,2,2,2,2,2,2,2,2,2,2,2,26
食品-焼き鳥-焼き,4,4,5,5,5,5,5,5,5,4,5,4,4,60
食品-焼き鳥-補充＆トレイ交換,1,1,2,2,2,2,2,2,2,2,2,1,1,22
食品-焼き鳥-味付け,1,1,1,2,2,2,2,2,2,2,1,1,1,20
食品-焼き鳥-パック詰め,1,1,1,1,1,1,1,1,1,1,1,1,1,13
食品-焼き鳥-運び屋,1,1,1,1,1,1,1,1,1,1,1,1,1,13
食品-焼き鳥-受け渡し,2,2,2,2,2,2,2,2,2,2,2,2,2,26
食品-焼き鳥-iPad,1,1,1,1,1,1,1,1,1,1,1,1,1,13
食品-駅弁-教室搬入,0,0,,,,,,,,,,,,0
食品-駅弁-品整理,,,0,,,,,,,,,,,0
食品-駅弁-レジ補佐,,,,,,,,0,0,,,,,0
食品-駅弁-予約対応,,,,0,0,0,0,,,,,,,0
食品-駅弁-品出し,,,,,0,0,,,,,,,,0
食品-駅弁-入場制限,,,,0,0,0,0,0,0,,,,,0
食品-音楽喫茶-接客,0,0,0,0,0,0,0,0,0,0,0,0,0
食品-音楽喫茶-厨房,0,0,0,0,0,0,0,0,0,0,0,0,0
美化-立ち番-中庭,2,2,2,2,2,2,2,2,2,2,2,2,2
美化-立ち番-エレベーター前,1,1,1,1,1,1,1,1,1,1,1,1,1
美化-立ち番-高校棟階段前,1,1,1,1,1,1,1,1,1,1,1,1,1
美化-立ち番-食券機前,1,1,1,1,1,1,1,1,1,1,1,1,1
美化-立ち番-出口,1,1,1,1,1,1,1,1,1,1,1,1,1
美化-ゴミ袋回収-1階,1,1,1,2,2,2,2,1,1,1,1,1,1
美化-ゴミ袋回収-2~4階,1,1,1,1,1,1,1,1,1,1,1,1,1
美化-掃除･消毒-1階,2,2,2,2,2,2,2,2,2,2,2,2,2
美化-掃除･消毒-2〜4階,2,2,2,2,2,2,2,2,2,2,2,2,2
美化-掃除-ADE階段,2,2,2,2,2,2,2,2,2,2,2,2,2
美化-掃除-BCF階段,2,2,2,2,2,2,2,2,2,2,2,2,2
食品-紳士喫茶-テーブル担当,0,0,0,0,0,0,0,0,0,0,0,0,0
食品-紳士喫茶-食品担当,0,0,0,0,0,0,0,0,0,0,0,0,0
放送-アナウンサー,1,1,1,1,1,1,1,1,1,1,1,1,1
放送-パーソナリティー,1,1,1,1,1,1,1,1,1,1,1,1,
放送-PA,1,1,1,1,1,1,1,1,1,1,1,1,1
放送-放送受付,1,1,1,1,1,1,1,1,1,1,1,1,1
展示-大賞ペン,1,1,1,2,2,2,3,3,3,3,3,4,4
展示-大賞呼びかけ,1,1,1,1,1,2,2,2,3,3,3,3,3
展示-大賞消毒,1,1,1,1,1,1,1,1,2,2,2,2,2
展示-大賞スタンプラリー,1,1,1,1,1,1,1,1,1,1,1,1,1
食品-クレープ-受け渡し,2,2,2,2,2,0,2,2,2,2,1,1,1
食品-クレープ-運び屋,4,3,3,3,3,0,3,3,3,3,1,1,1
食品-クレープ-IPAD,1,1,1,1,1,0,1,1,1,1,1,1,1
食品-クレープ-生地焼き,4,4,4,4,4,0,4,4,4,4,1,1,1
食品-クレープ-生地作り,3,3,3,3,3,0,3,3,3,3,2,2,2
食品-クレープ-トッピング,3,3,3,4,4,0,4,4,4,4,2,2,2
