,9:30~10:00,10:00~10:30,10:30~11:00,11:00~11:30,11:30~12:00,12:00~12:30,12:30~13:00,13:00~13:30,13:30~14:00,14:00~14:30,14:30~15:00,15:00~15:30,15:30~16:00,department
63156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63157,0,会計-ピロティ2,会計-ピロティ1,0,会計-綿あめ,0,0,会計-クロッフル,0,0,0,会計-クロッフル,0,0
63158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63159,会計-ピロティ2,0,0,0,0,0,0,0,0,0,0,0,0,0
63160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63161,0,0,食品-クレープ-運び屋,0,0,0,食品-クレープ-運び屋,0,食品-クレープ-受け渡し,0,0,0,食品-クレープ-受け渡し,0
63162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63163,0,会計-ピロティ5,食品-塩焼きそば-デリバリー,0,食品-塩焼きそば-鉄板,0,会計-ピロティ4,会計-ピロティ2,会計-音楽喫茶,0,会計-執事喫茶,0,会計-宇宙食,0
63164,0,0,0,展示-大賞呼びかけ,展示-大賞ペン,展示-大賞ペン,展示-大賞スタンプラリー,0,展示-大賞ペン,0,0,放送-パーソナリティー,展示-大賞ペン,0
63165,0,0,0,展示-大賞消毒,0,展示-大賞スタンプラリー,0,0,0,0,0,展示-大賞呼びかけ,0,0
63166,食品-塩焼きそば-受け渡し係,0,0,0,0,食品-塩焼きそば-具材投入,0,0,0,食品-塩焼きそば-書き込み係,食品-塩焼きそば-トッピング,0,食品-塩焼きそば-書き込み係,0
63167,食品-ドリンク-受け渡し,0,食品-焼き鳥-補充＆トレイ交換,0,0,外務-フロア案内所-4F 中学,外務-食品システム-受渡列整理,外務-フロア案内所-2F 中学,食品-ドリンク-取り出し + 冷やし,食品-ドリンク-整列 + 最後尾,0,食品-焼き鳥-味付け,食品-ドリンク-拭き,0
63168,0,0,0,0,外務-食品システム-受渡列整理,0,0,0,外務-公道整理-栄光ゼミ前,0,0,0,外務-公道整理-クリーニング,0
63169,0,0,0,食品-フランク-受け渡し,食品-フランク-焼き,0,食品-フランク-茹で,食品-フランク-焼き,0,食品-フランク-焼き,0,0,0,0
63170,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63171,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63172,0,0,0,0,0,0,0,0,食品-塩焼きそば-トッピング,0,0,0,食品-塩焼きそば-パッキング,0
63173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63174,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63175,0,0,0,食品-塩焼きそば-鉄板,会計-ピロティ1,0,会計-ピロティ6,会計-ピロティ6,会計-執事喫茶,0,0,0,0,0
63176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63177,食品-フランク-盛り付け,0,0,0,0,0,0,0,0,0,食品-フランク-盛り付け,食品-フランク-焼き,0,0
63178,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63180,食品-焼き鳥-味付け,食品-塩焼きそば-キャベツ,外務-食品システム-受渡列最後尾,食品-塩焼きそば-箸、輪ゴム,外務-入場受付-第4レーン,外務-食品システム-受渡列最後尾,食品-塩焼きそば-トッピング,食品-塩焼きそば-キャベツ,食品-焼き鳥-運び屋,0,0,食品-焼き鳥-運び屋,食品-塩焼きそば-デリバリー,0
63181,外務-フロア案内所-2F 職員室前,外務-食品案内（店舗列）-ドリンク,外務-入場受付-第1レーン,0,0,0,外務-フロア案内所-3F 高校,外務-食品システム-受渡列整理,外務-フロア案内所-2F 中学,0,0,0,0,0
63182,食品-たこ焼き-鉄板係,食品-たこ焼き-食品受け渡し係,0,食品-たこ焼き-パッキング係,0,0,0,0,食品-たこ焼き-鉄板係,0,食品-たこ焼き-パッキング係,0,0,0
63183,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63185,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63186,0,0,美化-掃除･消毒-1階,美化-掃除-ADE階段,0,美化-掃除-ADE階段,0,美化-掃除･消毒-1階,0,0,0,0,美化-立ち番-食券機前,0
